absentCount,abstainCount,againstCount,forCount,id,result,resultType,subject,voteCount,voteDate,names
353,0,0,89,104280,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 38) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",89,06.19.2018,О проекте федерального закона № 476242-7
354,0,0,88,104281,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 2) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",88,06.19.2018,О проекте федерального закона № 476242-7
353,1,0,88,104282,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 36) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",89,06.19.2018,О проекте федерального закона № 476242-7
351,0,0,91,104283,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 37) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",91,06.19.2018,О проекте федерального закона № 476242-7
345,1,3,93,104284,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 31) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",97,06.19.2018,О проекте федерального закона № 476242-7
354,0,0,88,104285,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 45) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",88,06.19.2018,О проекте федерального закона № 476242-7
361,1,0,80,104286,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 46) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",81,06.19.2018,О проекте федерального закона № 476242-7
348,2,0,92,104287,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 4) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",94,06.19.2018,О проекте федерального закона № 476242-7
355,0,0,87,104288,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 5) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",87,06.19.2018,О проекте федерального закона № 476242-7
357,0,0,85,104289,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 6) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",85,06.19.2018,О проекте федерального закона № 476242-7
361,0,0,81,104290,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 7) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",81,06.19.2018,О проекте федерального закона № 476242-7
357,0,0,85,104291,Не принято,количественное,"*(2 чтение таб. 2 отклонённые поправки - поправка 32) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",85,06.19.2018,О проекте федерального закона № 476242-7
67,1,60,314,104292,Принято,количественное,"*(2 чтение) О проекте федерального закона № 476242-7 ""О внесении изменений в Федеральный закон ""О федеральном бюджете на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров федерального бюджета на 2018 год)",375,06.19.2018,О проекте федерального закона № 476242-7
70,0,21,351,104293,Принято,количественное,"* (второе чтение) О проекте федерального закона № 474442-7 ""О внесении изменений в Федеральный закон ""О бюджете Пенсионного фонда Российской Федерации на 2018 год и на плановый период 2019 и 2020 годов"" (об уточнении параметров бюджета Пенсионного фонда Российской Федерации на 2018 год)",372,06.19.2018,О проекте федерального закона № 474442-7
39,0,0,403,104294,Принято,количественное,"О проекте постановления Государственной Думы № 489520-7 ""О досрочном прекращении полномочий депутата Государственной Думы Федерального Собрания Российской Федерации Говорухина Станислава Сергеевича""",403,06.19.2018,О проекте постановления Государственной Думы № 489520-7
42,1,1,398,104295,Принято,количественное,"(третье чтение) О проекте федерального закона № 347864-7 ""О внесении изменения в статью 33 Федерального закона ""О политических партиях"" (в части увеличения размера государственного финансирования политических партий, принимавших участие в выборах Президента Российской Федерации)",400,06.19.2018,О проекте федерального закона № 347864-7
108,0,19,315,104296,Принято,количественное,"* (третье чтение) О проекте федерального закона № 325332-7 ""О внесении изменений в Федеральный закон ""О рекламе"" (в части уточнения порядка проведения проверок в сфере рекламы)",334,06.19.2018,О проекте федерального закона № 325332-7
114,1,0,327,104297,Принято,количественное,"* (третье чтение) О проекте федерального закона № 451536-7 ""О внесении изменений в статьи 333(28) и 333(33) части второй Налогового кодекса Российской Федерации"" (в части установления размера государственной пошлины)",328,06.19.2018,О проекте федерального закона № 451536-7
45,1,0,396,104298,Принято,количественное,"* (третье чтение) О проекте федерального закона № 357270-7 ""О внесении изменений в Закон Российской Федерации ""О занятости населения в Российской Федерации"" в части совершенствования механизма повышения мобильности трудовых ресурсов""",397,06.19.2018,О проекте федерального закона № 357270-7
45,1,0,396,104299,Принято,количественное,"* (третье чтение) О проекте федерального закона № 152717-7 ""О внесении изменений в статью 19 Федерального закона ""О рекламе"" (в части выдачи разрешений на установку и эксплуатацию рекламных конструкций)",397,06.19.2018,О проекте федерального закона № 152717-7
108,0,0,334,104300,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 344028-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части оптимизации нового порядка применения контрольно-кассовой техники)",334,06.19.2018,О проекте федерального закона № 344028-7
130,0,0,312,104301,Принято,количественное,"(2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 344028-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части оптимизации нового порядка применения контрольно-кассовой техники)",312,06.19.2018,О проекте федерального закона № 344028-7
