absentCount,abstainCount,againstCount,forCount,id,result,resultType,subject,voteCount,voteDate,names
54,0,0,388,104328,Принято,количественное,"* (2 чтение) О проекте федерального закона № 381746-7 ""О внесении изменений в Федеральный закон ""О закупках товаров, работ, услуг отдельными видами юридических лиц"" и Федеральный закон ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд"" (в части закупок за счет бюджетных средств на осуществление капитальных вложений в объекты капитального строительства и (или) на приобретение объектов недвижимого имущества)",388,06.19.2018,О проекте федерального закона № 381746-7
129,0,0,313,104329,Принято,количественное,"* (2 чтение таб. 1 принятые поправки) О проекте федерального закона № 405915-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации в части распространения упрощенного порядка въезда иностранных граждан по электронным визам на территории воздушных пунктов пропуска через Государственную границу Российской Федерации, расположенных на территории Дальневосточного федерального округа""",313,06.19.2018,О проекте федерального закона № 405915-7
111,0,0,331,104330,Принято,количественное,"* (2 чтение) О проекте федерального закона № 405915-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации в части распространения упрощенного порядка въезда иностранных граждан по электронным визам на территории воздушных пунктов пропуска через Государственную границу Российской Федерации, расположенных на территории Дальневосточного федерального округа""",331,06.19.2018,О проекте федерального закона № 405915-7
108,0,18,316,104331,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 1132055-6 ""О внесении изменений в статью 2 Федерального закона ""О водоснабжении и водоотведении"" (в части включения индивидуальных предпринимателей в круг лиц, осуществляющих водоснабжение и водоотведение)",334,06.19.2018,О проекте федерального закона № 1132055-6
87,1,19,335,104332,Принято,количественное,"(2 чтение) О проекте федерального закона № 1132055-6 ""О внесении изменений в статью 2 Федерального закона ""О водоснабжении и водоотведении"" (в части включения индивидуальных предпринимателей в круг лиц, осуществляющих водоснабжение и водоотведение)",355,06.19.2018,О проекте федерального закона № 1132055-6
102,1,0,339,104333,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 455471-5 ""О внесении изменения в статью 16 Федерального закона ""О введении в действие Жилищного кодекса Российской Федерации"" (в части формирования земельного участка, на котором находятся многоквартирный дом и иные входящие в состав общего имущества объекты недвижимого имущества)",340,06.19.2018,О проекте федерального закона № 455471-5
61,1,0,380,104334,Принято,количественное,"(2 чтение) О проекте федерального закона № 455471-5 ""О внесении изменения в статью 16 Федерального закона ""О введении в действие Жилищного кодекса Российской Федерации"" (в части формирования земельного участка, на котором находятся многоквартирный дом и иные входящие в состав общего имущества объекты недвижимого имущества)",381,06.19.2018,О проекте федерального закона № 455471-5
101,1,24,316,104335,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 423761-7 ""О внесении изменений в Федеральный закон ""Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации"" (в части наделения Общественной палаты Российской Федерации, общественных палат субъектов Российской Федерации правом назначать наблюдателей в избирательные комиссии при проведении выборов в органы государственной власти субъектов Российской Федерации и органы местного самоуправления)",341,06.19.2018,О проекте федерального закона № 423761-7
71,1,38,332,104336,Принято,количественное,"(2 чтение) О проекте федерального закона № 423761-7 ""О внесении изменений в Федеральный закон ""Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации"" (в части наделения Общественной палаты Российской Федерации, общественных палат субъектов Российской Федерации правом назначать наблюдателей в избирательные комиссии при проведении выборов в органы государственной власти субъектов Российской Федерации и органы местного самоуправления)",371,06.19.2018,О проекте федерального закона № 423761-7
101,1,0,340,104337,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 314065-7 ""О внесении изменения в статью 47 Федерального закона ""Об образовании в Российской Федерации"" (в части выплаты компенсации педагогическим работникам за работу по подготовке и проведению государственной итоговой аттестации по образовательным программам основного общего и среднего общего образования)",341,06.19.2018,О проекте федерального закона № 314065-7
